pos[0] = 22.824442	pos[1] = 106.974133	pos[2] = 25.525805
pos[0] = 34.775280	pos[1] = 115.892428	pos[2] = 35.133591
angle[0] = -0.203543	angle[1] = 0.764233	angle[2] = 0.604302

pos[0] = 34.933395	pos[1] = 116.024417	pos[2] = 35.199349
angle[0] = -0.204366	angle[1] = 0.764641	angle[2] = 0.605524

pos[0] = 35.090195	pos[1] = 116.086311	pos[2] = 35.258014
angle[0] = -0.205188	angle[1] = 0.764641	angle[2] = 0.606339

pos[0] = 35.247108	pos[1] = 116.148275	pos[2] = 35.316490
angle[0] = -0.206010	angle[1] = 0.764641	angle[2] = 0.607154

pos[0] = 35.404137	pos[1] = 116.210320	pos[2] = 35.374777
angle[0] = -0.206833	angle[1] = 0.764641	angle[2] = 0.607969

pos[0] = 35.562687	pos[1] = 116.342770	pos[2] = 35.439610
angle[0] = -0.207655	angle[1] = 0.765049	angle[2] = 0.609192

pos[0] = 35.719925	pos[1] = 116.404997	pos[2] = 35.497473
angle[0] = -0.208478	angle[1] = 0.765049	angle[2] = 0.610007

pos[0] = 35.807823	pos[1] = 116.467288	pos[2] = 35.569900
angle[0] = -0.208889	angle[1] = 0.765049	angle[2] = 0.610822

pos[0] = 35.965256	pos[1] = 116.529658	pos[2] = 35.627434
angle[0] = -0.209711	angle[1] = 0.765049	angle[2] = 0.611637

pos[0] = 36.122799	pos[1] = 116.592092	pos[2] = 35.684779
angle[0] = -0.210534	angle[1] = 0.765049	angle[2] = 0.612452

pos[0] = 36.280457	pos[1] = 116.654605	pos[2] = 35.741949
angle[0] = -0.211356	angle[1] = 0.765049	angle[2] = 0.613267

pos[0] = 36.430275	pos[1] = 116.756430	pos[2] = 35.762055
angle[0] = -0.212178	angle[1] = 0.765457	angle[2] = 0.614082

pos[0] = 36.588108	pos[1] = 116.819087	pos[2] = 35.818838
angle[0] = -0.213001	angle[1] = 0.765457	angle[2] = 0.614897

pos[0] = 36.667065	pos[1] = 116.850442	pos[2] = 35.847144
angle[0] = -0.213412	angle[1] = 0.765457	angle[2] = 0.615304

pos[0] = 36.825066	pos[1] = 116.913210	pos[2] = 35.903633
angle[0] = -0.214234	angle[1] = 0.765457	angle[2] = 0.616119

pos[0] = 36.983166	pos[1] = 116.976049	pos[2] = 35.959902
angle[0] = -0.215057	angle[1] = 0.765457	angle[2] = 0.616934

pos[0] = 37.141376	pos[1] = 117.038952	pos[2] = 36.015996
angle[0] = -0.215879	angle[1] = 0.765457	angle[2] = 0.617749

pos[0] = 37.291584	pos[1] = 117.141159	pos[2] = 36.035047
angle[0] = -0.216702	angle[1] = 0.765865	angle[2] = 0.618564

pos[0] = 37.380299	pos[1] = 117.204212	pos[2] = 36.106152
angle[0] = -0.217113	angle[1] = 0.765865	angle[2] = 0.619379

pos[0] = 37.538773	pos[1] = 117.267338	pos[2] = 36.161716
angle[0] = -0.217935	angle[1] = 0.765865	angle[2] = 0.620194

pos[0] = 37.687759	pos[1] = 117.298924	pos[2] = 36.173938
angle[0] = -0.218758	angle[1] = 0.765865	angle[2] = 0.620601

pos[0] = 37.846420	pos[1] = 117.362161	pos[2] = 36.229158
angle[0] = -0.219580	angle[1] = 0.765865	angle[2] = 0.621416

pos[0] = 38.005177	pos[1] = 117.425468	pos[2] = 36.284172
angle[0] = -0.220402	angle[1] = 0.765865	angle[2] = 0.622231

pos[0] = 38.164043	pos[1] = 117.488848	pos[2] = 36.338995
angle[0] = -0.221225	angle[1] = 0.765865	angle[2] = 0.623046

pos[0] = 38.244915	pos[1] = 117.591508	pos[2] = 36.372560
angle[0] = -0.221636	angle[1] = 0.766273	angle[2] = 0.623861

pos[0] = 38.394215	pos[1] = 117.623261	pos[2] = 36.384061
angle[0] = -0.222458	angle[1] = 0.766273	angle[2] = 0.624269

pos[0] = 38.553310	pos[1] = 117.686816	pos[2] = 36.438390
angle[0] = -0.223281	angle[1] = 0.766273	angle[2] = 0.625084

pos[0] = 38.712509	pos[1] = 117.750450	pos[2] = 36.492527
angle[0] = -0.224103	angle[1] = 0.766273	angle[2] = 0.625899

pos[0] = 38.871815	pos[1] = 117.814147	pos[2] = 36.546473
angle[0] = -0.224926	angle[1] = 0.766273	angle[2] = 0.626714

pos[0] = 38.951504	pos[1] = 117.846028	pos[2] = 36.573353
angle[0] = -0.225337	angle[1] = 0.766273	angle[2] = 0.627121

pos[0] = 39.110962	pos[1] = 117.909837	pos[2] = 36.627005
angle[0] = -0.226159	angle[1] = 0.766273	angle[2] = 0.627936

pos[0] = 39.262028	pos[1] = 118.012918	pos[2] = 36.643666
angle[0] = -0.226982	angle[1] = 0.766681	angle[2] = 0.628751

pos[0] = 39.341831	pos[1] = 118.044886	pos[2] = 36.670321
angle[0] = -0.227393	angle[1] = 0.766681	angle[2] = 0.629159

pos[0] = 39.501518	pos[1] = 118.108877	pos[2] = 36.723476
angle[0] = -0.228215	angle[1] = 0.766681	angle[2] = 0.629974

pos[0] = 39.581398	pos[1] = 118.140893	pos[2] = 36.749976
angle[0] = -0.228626	angle[1] = 0.766681	angle[2] = 0.630381

pos[0] = 39.741234	pos[1] = 118.204988	pos[2] = 36.802820
angle[0] = -0.229449	angle[1] = 0.766681	angle[2] = 0.631196

pos[0] = 39.901176	pos[1] = 118.269155	pos[2] = 36.855487
angle[0] = -0.230271	angle[1] = 0.766681	angle[2] = 0.632011

pos[0] = 39.981178	pos[1] = 118.301266	pos[2] = 36.881728
angle[0] = -0.230682	angle[1] = 0.766681	angle[2] = 0.632419

pos[0] = 40.132610	pos[1] = 118.404713	pos[2] = 36.897355
angle[0] = -0.231505	angle[1] = 0.767089	angle[2] = 0.633234

pos[0] = 40.222740	pos[1] = 118.469054	pos[2] = 36.966064
angle[0] = -0.231916	angle[1] = 0.767089	angle[2] = 0.634049

pos[0] = 40.372890	pos[1] = 118.501252	pos[2] = 36.975524
angle[0] = -0.232738	angle[1] = 0.767089	angle[2] = 0.634456

pos[0] = 40.533203	pos[1] = 118.565705	pos[2] = 37.027383
angle[0] = -0.233561	angle[1] = 0.767089	angle[2] = 0.635271

pos[0] = 40.613396	pos[1] = 118.597960	pos[2] = 37.053241
angle[0] = -0.233972	angle[1] = 0.767089	angle[2] = 0.635678

pos[0] = 40.765072	pos[1] = 118.701684	pos[2] = 37.068058
angle[0] = -0.234794	angle[1] = 0.767497	angle[2] = 0.636493

pos[0] = 40.855503	pos[1] = 118.766319	pos[2] = 37.136247
angle[0] = -0.235206	angle[1] = 0.767497	angle[2] = 0.637308

pos[0] = 41.005909	pos[1] = 118.798654	pos[2] = 37.145050
angle[0] = -0.236028	angle[1] = 0.767497	angle[2] = 0.637716

pos[0] = 41.156353	pos[1] = 118.831018	pos[2] = 37.153706
angle[0] = -0.236850	angle[1] = 0.767497	angle[2] = 0.638123

pos[0] = 41.238091	pos[1] = 118.934942	pos[2] = 37.184851
angle[0] = -0.237262	angle[1] = 0.767905	angle[2] = 0.638938

pos[0] = 41.388611	pos[1] = 118.967363	pos[2] = 37.193274
angle[0] = -0.238084	angle[1] = 0.767905	angle[2] = 0.639346

pos[0] = 41.479332	pos[1] = 119.032237	pos[2] = 37.260961
angle[0] = -0.238495	angle[1] = 0.767905	angle[2] = 0.640161

pos[0] = 41.629951	pos[1] = 119.064706	pos[2] = 37.269114
angle[0] = -0.239318	angle[1] = 0.767905	angle[2] = 0.640568

pos[0] = 41.701473	pos[1] = 119.136320	pos[2] = 37.257569
angle[0] = -0.239729	angle[1] = 0.768313	angle[2] = 0.640976

pos[0] = 41.862514	pos[1] = 119.201344	pos[2] = 37.307791
angle[0] = -0.240551	angle[1] = 0.768313	angle[2] = 0.641791

pos[0] = 41.943069	pos[1] = 119.233877	pos[2] = 37.332823
angle[0] = -0.240962	angle[1] = 0.768313	angle[2] = 0.642198

pos[0] = 42.104256	pos[1] = 119.299006	pos[2] = 37.382746
angle[0] = -0.241785	angle[1] = 0.768313	angle[2] = 0.643013

pos[0] = 42.184883	pos[1] = 119.331601	pos[2] = 37.407622
angle[0] = -0.242196	angle[1] = 0.768313	angle[2] = 0.643421

pos[0] = 42.326660	pos[1] = 119.403327	pos[2] = 37.378351
angle[0] = -0.243018	angle[1] = 0.768721	angle[2] = 0.643828

pos[0] = 42.417805	pos[1] = 119.468597	pos[2] = 37.445269
angle[0] = -0.243430	angle[1] = 0.768721	angle[2] = 0.644643

pos[0] = 42.568752	pos[1] = 119.501257	pos[2] = 37.452465
angle[0] = -0.244252	angle[1] = 0.768721	angle[2] = 0.645051

pos[0] = 42.640335	pos[1] = 119.573038	pos[2] = 37.440365
angle[0] = -0.244663	angle[1] = 0.769129	angle[2] = 0.645458

pos[0] = 42.731621	pos[1] = 119.638445	pos[2] = 37.507015
angle[0] = -0.245074	angle[1] = 0.769129	angle[2] = 0.646273

pos[0] = 42.882675	pos[1] = 119.671184	pos[2] = 37.513876
angle[0] = -0.245897	angle[1] = 0.769129	angle[2] = 0.646681

pos[0] = 42.963501	pos[1] = 119.703931	pos[2] = 37.538285
angle[0] = -0.246308	angle[1] = 0.769129	angle[2] = 0.647088

pos[0] = 43.105370	pos[1] = 119.775791	pos[2] = 37.508220
angle[0] = -0.247130	angle[1] = 0.769537	angle[2] = 0.647496

pos[0] = 43.196857	pos[1] = 119.841380	pos[2] = 37.574494
angle[0] = -0.247542	angle[1] = 0.769537	angle[2] = 0.648311

pos[0] = 43.338741	pos[1] = 119.913264	pos[2] = 37.544177
angle[0] = -0.248364	angle[1] = 0.769945	angle[2] = 0.648718

pos[0] = 43.419674	pos[1] = 119.946098	pos[2] = 37.568313
angle[0] = -0.248775	angle[1] = 0.769945	angle[2] = 0.649126

pos[0] = 43.500622	pos[1] = 119.978957	pos[2] = 37.592382
angle[0] = -0.249186	angle[1] = 0.769945	angle[2] = 0.649533

pos[0] = 43.653225	pos[1] = 120.083787	pos[2] = 37.603667
angle[0] = -0.250009	angle[1] = 0.770353	angle[2] = 0.650348

pos[0] = 43.734230	pos[1] = 120.116693	pos[2] = 37.627597
angle[0] = -0.250420	angle[1] = 0.770353	angle[2] = 0.650755

pos[0] = 43.805855	pos[1] = 120.188664	pos[2] = 37.614757
angle[0] = -0.250831	angle[1] = 0.770761	angle[2] = 0.651163

pos[0] = 43.957203	pos[1] = 120.221610	pos[2] = 37.620526
angle[0] = -0.251653	angle[1] = 0.770761	angle[2] = 0.651570

pos[0] = 44.028820	pos[1] = 120.293582	pos[2] = 37.607548
angle[0] = -0.252065	angle[1] = 0.771169	angle[2] = 0.651978

pos[0] = 44.109898	pos[1] = 120.326559	pos[2] = 37.631243
angle[0] = -0.252476	angle[1] = 0.771169	angle[2] = 0.652385

pos[0] = 44.262627	pos[1] = 120.431587	pos[2] = 37.641766
angle[0] = -0.253298	angle[1] = 0.771578	angle[2] = 0.653200

pos[0] = 44.343761	pos[1] = 120.464613	pos[2] = 37.665322
angle[0] = -0.253709	angle[1] = 0.771578	angle[2] = 0.653608

pos[0] = 44.415386	pos[1] = 120.536655	pos[2] = 37.652094
angle[0] = -0.254121	angle[1] = 0.771986	angle[2] = 0.654015

pos[0] = 44.496559	pos[1] = 120.569720	pos[2] = 37.675548
angle[0] = -0.254532	angle[1] = 0.771986	angle[2] = 0.654423

pos[0] = 44.579041	pos[1] = 120.674892	pos[2] = 37.703911
angle[0] = -0.254943	angle[1] = 0.772394	angle[2] = 0.655238

pos[0] = 44.730598	pos[1] = 120.708013	pos[2] = 37.708866
angle[0] = -0.255765	angle[1] = 0.772394	angle[2] = 0.655645

pos[0] = 44.802223	pos[1] = 120.780111	pos[2] = 37.695373
angle[0] = -0.256177	angle[1] = 0.772802	angle[2] = 0.656053

pos[0] = 44.873840	pos[1] = 120.852219	pos[2] = 37.681835
angle[0] = -0.256588	angle[1] = 0.773210	angle[2] = 0.656460

pos[0] = 44.955101	pos[1] = 120.885395	pos[2] = 37.704986
angle[0] = -0.256999	angle[1] = 0.773210	angle[2] = 0.656868

pos[0] = 45.026711	pos[1] = 120.957518	pos[2] = 37.691342
angle[0] = -0.257410	angle[1] = 0.773618	angle[2] = 0.657275

pos[0] = 45.118969	pos[1] = 121.023949	pos[2] = 37.755983
angle[0] = -0.257821	angle[1] = 0.773618	angle[2] = 0.658090

pos[0] = 45.190586	pos[1] = 121.096104	pos[2] = 37.742196
angle[0] = -0.258233	angle[1] = 0.774026	angle[2] = 0.658498

pos[0] = 45.262199	pos[1] = 121.168274	pos[2] = 37.728378
angle[0] = -0.258644	angle[1] = 0.774434	angle[2] = 0.658905

pos[0] = 45.343540	pos[1] = 121.201546	pos[2] = 37.751258
angle[0] = -0.259055	angle[1] = 0.774434	angle[2] = 0.659313

pos[0] = 45.426170	pos[1] = 121.307027	pos[2] = 37.778833
angle[0] = -0.259466	angle[1] = 0.774842	angle[2] = 0.660128

pos[0] = 45.497780	pos[1] = 121.379237	pos[2] = 37.764813
angle[0] = -0.259877	angle[1] = 0.775250	angle[2] = 0.660535

pos[0] = 45.579174	pos[1] = 121.412580	pos[2] = 37.787538
angle[0] = -0.260289	angle[1] = 0.775250	angle[2] = 0.660943

pos[0] = 45.650784	pos[1] = 121.484798	pos[2] = 37.773425
angle[0] = -0.260700	angle[1] = 0.775658	angle[2] = 0.661350

pos[0] = 45.733440	pos[1] = 121.590415	pos[2] = 37.800663
angle[0] = -0.261111	angle[1] = 0.776066	angle[2] = 0.662165

pos[0] = 45.805027	pos[1] = 121.662649	pos[2] = 37.786398
angle[0] = -0.261522	angle[1] = 0.776474	angle[2] = 0.662573

pos[0] = 45.816105	pos[1] = 121.696087	pos[2] = 37.827788
angle[0] = -0.261522	angle[1] = 0.776474	angle[2] = 0.662980

pos[0] = 45.898788	pos[1] = 121.801824	pos[2] = 37.854799
angle[0] = -0.261933	angle[1] = 0.776882	angle[2] = 0.663795

pos[0] = 45.970390	pos[1] = 121.874104	pos[2] = 37.840391
angle[0] = -0.262345	angle[1] = 0.777290	angle[2] = 0.664202

pos[0] = 46.041973	pos[1] = 121.946386	pos[2] = 37.825924
angle[0] = -0.262756	angle[1] = 0.777698	angle[2] = 0.664610

pos[0] = 46.124672	pos[1] = 122.052217	pos[2] = 37.852679
angle[0] = -0.263167	angle[1] = 0.778106	angle[2] = 0.665425

pos[0] = 46.135792	pos[1] = 122.085775	pos[2] = 37.893948
angle[0] = -0.263167	angle[1] = 0.778106	angle[2] = 0.665832

pos[0] = 46.207382	pos[1] = 122.158089	pos[2] = 37.879339
angle[0] = -0.263578	angle[1] = 0.778514	angle[2] = 0.666240

pos[0] = 46.290104	pos[1] = 122.264016	pos[2] = 37.905884
angle[0] = -0.263989	angle[1] = 0.778922	angle[2] = 0.667055

pos[0] = 46.291267	pos[1] = 122.336353	pos[2] = 37.910185
angle[0] = -0.263989	angle[1] = 0.779330	angle[2] = 0.667462

pos[0] = 46.373989	pos[1] = 122.442368	pos[2] = 37.936572
angle[0] = -0.264401	angle[1] = 0.779738	angle[2] = 0.668277

pos[0] = 46.445560	pos[1] = 122.514729	pos[2] = 37.921716
angle[0] = -0.264812	angle[1] = 0.780146	angle[2] = 0.668685

pos[0] = 46.457848	pos[1] = 122.620790	pos[2] = 37.967031
angle[0] = -0.264812	angle[1] = 0.780554	angle[2] = 0.669500

pos[0] = 46.529423	pos[1] = 122.693183	pos[2] = 37.952080
angle[0] = -0.265223	angle[1] = 0.780962	angle[2] = 0.669907

pos[0] = 46.612156	pos[1] = 122.799333	pos[2] = 37.978134
angle[0] = -0.265634	angle[1] = 0.781370	angle[2] = 0.670722

pos[0] = 46.624435	pos[1] = 122.905538	pos[2] = 38.023277
angle[0] = -0.265634	angle[1] = 0.781778	angle[2] = 0.671537

pos[0] = 46.695999	pos[1] = 122.977954	pos[2] = 38.008140
angle[0] = -0.266045	angle[1] = 0.782186	angle[2] = 0.671945

pos[0] = 46.778748	pos[1] = 123.084230	pos[2] = 38.033938
angle[0] = -0.266457	angle[1] = 0.782594	angle[2] = 0.672760

pos[0] = 46.791016	pos[1] = 123.190562	pos[2] = 38.078879
angle[0] = -0.266457	angle[1] = 0.783002	angle[2] = 0.673575

pos[0] = 46.862579	pos[1] = 123.263027	pos[2] = 38.063570
angle[0] = -0.266868	angle[1] = 0.783410	angle[2] = 0.673982

pos[0] = 46.945335	pos[1] = 123.369431	pos[2] = 38.089113
angle[0] = -0.267279	angle[1] = 0.783818	angle[2] = 0.674797

pos[0] = 46.957596	pos[1] = 123.475882	pos[2] = 38.133882
angle[0] = -0.267279	angle[1] = 0.784226	angle[2] = 0.675612

pos[0] = 47.040363	pos[1] = 123.582397	pos[2] = 38.159234
angle[0] = -0.267690	angle[1] = 0.784634	angle[2] = 0.676427

pos[0] = 47.031219	pos[1] = 123.693395	pos[2] = 38.125903
angle[0] = -0.267690	angle[1] = 0.785450	angle[2] = 0.676835

pos[0] = 47.113968	pos[1] = 123.799957	pos[2] = 38.151118
angle[0] = -0.268101	angle[1] = 0.785858	angle[2] = 0.677649

pos[0] = 47.126186	pos[1] = 123.906575	pos[2] = 38.195598
angle[0] = -0.268101	angle[1] = 0.786266	angle[2] = 0.678464

pos[0] = 47.208939	pos[1] = 124.013257	pos[2] = 38.220621
angle[0] = -0.268513	angle[1] = 0.786674	angle[2] = 0.679279

pos[0] = 47.221146	pos[1] = 124.119979	pos[2] = 38.264978
angle[0] = -0.268513	angle[1] = 0.787082	angle[2] = 0.680094

pos[0] = 47.293667	pos[1] = 124.265146	pos[2] = 38.252636
angle[0] = -0.268924	angle[1] = 0.787899	angle[2] = 0.680909

pos[0] = 47.305843	pos[1] = 124.371964	pos[2] = 38.296826
angle[0] = -0.268924	angle[1] = 0.788307	angle[2] = 0.681724

pos[0] = 47.377377	pos[1] = 124.444563	pos[2] = 38.280831
angle[0] = -0.269335	angle[1] = 0.788715	angle[2] = 0.682132

pos[0] = 47.389542	pos[1] = 124.551451	pos[2] = 38.324898
angle[0] = -0.269335	angle[1] = 0.789123	angle[2] = 0.682947

pos[0] = 47.462002	pos[1] = 124.696698	pos[2] = 38.312162
angle[0] = -0.269746	angle[1] = 0.789939	angle[2] = 0.683762

pos[0] = 47.474140	pos[1] = 124.803682	pos[2] = 38.356062
angle[0] = -0.269746	angle[1] = 0.790347	angle[2] = 0.684577

pos[0] = 47.556889	pos[1] = 124.910706	pos[2] = 38.380377
angle[0] = -0.270157	angle[1] = 0.790755	angle[2] = 0.685392

pos[0] = 47.639633	pos[1] = 125.017793	pos[2] = 38.404566
angle[0] = -0.270569	angle[1] = 0.791163	angle[2] = 0.686207

pos[0] = 47.641403	pos[1] = 125.163151	pos[2] = 38.410948
angle[0] = -0.270569	angle[1] = 0.791979	angle[2] = 0.687022

pos[0] = 47.653500	pos[1] = 125.270317	pos[2] = 38.454559
angle[0] = -0.270569	angle[1] = 0.792387	angle[2] = 0.687837

pos[0] = 47.747471	pos[1] = 125.412083	pos[2] = 38.518911
angle[0] = -0.270980	angle[1] = 0.792795	angle[2] = 0.689059

pos[0] = 47.749161	pos[1] = 125.557560	pos[2] = 38.524998
angle[0] = -0.270980	angle[1] = 0.793611	angle[2] = 0.689874

pos[0] = 47.831890	pos[1] = 125.664909	pos[2] = 38.548701
angle[0] = -0.271391	angle[1] = 0.794019	angle[2] = 0.690689

pos[0] = 47.833527	pos[1] = 125.810427	pos[2] = 38.554581
angle[0] = -0.271391	angle[1] = 0.794835	angle[2] = 0.691504

pos[0] = 47.916248	pos[1] = 125.917871	pos[2] = 38.578081
angle[0] = -0.271802	angle[1] = 0.795243	angle[2] = 0.692319

pos[0] = 47.928268	pos[1] = 126.025356	pos[2] = 38.621207
angle[0] = -0.271802	angle[1] = 0.795651	angle[2] = 0.693134

pos[0] = 48.011772	pos[1] = 126.205711	pos[2] = 38.647309
angle[0] = -0.272213	angle[1] = 0.796467	angle[2] = 0.694356

pos[0] = 48.023758	pos[1] = 126.313330	pos[2] = 38.690253
angle[0] = -0.272213	angle[1] = 0.796875	angle[2] = 0.695171

pos[0] = 48.095997	pos[1] = 126.459007	pos[2] = 38.675856
angle[0] = -0.272625	angle[1] = 0.797691	angle[2] = 0.695986

pos[0] = 48.119175	pos[1] = 126.601591	pos[2] = 38.758767
angle[0] = -0.272625	angle[1] = 0.798099	angle[2] = 0.697209

pos[0] = 48.191380	pos[1] = 126.747339	pos[2] = 38.744093
angle[0] = -0.273036	angle[1] = 0.798915	angle[2] = 0.698024

pos[0] = 48.214527	pos[1] = 126.890121	pos[2] = 38.826744
angle[0] = -0.273036	angle[1] = 0.799323	angle[2] = 0.699246

pos[0] = 48.215900	pos[1] = 127.035940	pos[2] = 38.831652
angle[0] = -0.273036	angle[1] = 0.800139	angle[2] = 0.700061

pos[0] = 48.309803	pos[1] = 127.178938	pos[2] = 38.894204
angle[0] = -0.273447	angle[1] = 0.800547	angle[2] = 0.701284

pos[0] = 48.311119	pos[1] = 127.324837	pos[2] = 38.898890
angle[0] = -0.273447	angle[1] = 0.801363	angle[2] = 0.702099

pos[0] = 48.405014	pos[1] = 127.468033	pos[2] = 38.961128
angle[0] = -0.273858	angle[1] = 0.801771	angle[2] = 0.703321

pos[0] = 48.417465	pos[1] = 127.649189	pos[2] = 39.005463
angle[0] = -0.273858	angle[1] = 0.802588	angle[2] = 0.704544

pos[0] = 48.429264	pos[1] = 127.757406	pos[2] = 39.047462
angle[0] = -0.273858	angle[1] = 0.802996	angle[2] = 0.705359

pos[0] = 48.512535	pos[1] = 127.938705	pos[2] = 39.071555
angle[0] = -0.274269	angle[1] = 0.803812	angle[2] = 0.706581

pos[0] = 48.535488	pos[1] = 128.082378	pos[2] = 39.153135
angle[0] = -0.274269	angle[1] = 0.804220	angle[2] = 0.707803

pos[0] = 48.618725	pos[1] = 128.263893	pos[2] = 39.176826
angle[0] = -0.274681	angle[1] = 0.805036	angle[2] = 0.709026

pos[0] = 48.630981	pos[1] = 128.445496	pos[2] = 39.220328
angle[0] = -0.274681	angle[1] = 0.805852	angle[2] = 0.710248

pos[0] = 48.653839	pos[1] = 128.589535	pos[2] = 39.301443
angle[0] = -0.274681	angle[1] = 0.806260	angle[2] = 0.711471

pos[0] = 48.737011	pos[1] = 128.771343	pos[2] = 39.324566
angle[0] = -0.275092	angle[1] = 0.807076	angle[2] = 0.712693

pos[0] = 48.759819	pos[1] = 128.915628	pos[2] = 39.405378
angle[0] = -0.275092	angle[1] = 0.807484	angle[2] = 0.713916

pos[0] = 48.771900	pos[1] = 129.097645	pos[2] = 39.448185
angle[0] = -0.275092	angle[1] = 0.808300	angle[2] = 0.715138

